Unnamed: 0,data_version,target,date,location,type,quantile,value
0,2020-06-06,4 day R,2020-03-06,DE,point,,2.27
1,2020-06-06,4 day R,2020-03-07,DE,point,,2.59
2,2020-06-06,4 day R,2020-03-08,DE,point,,2.76
3,2020-06-06,4 day R,2020-03-09,DE,point,,3.21
4,2020-06-06,4 day R,2020-03-10,DE,point,,3.38
5,2020-06-06,4 day R,2020-03-11,DE,point,,3.38
6,2020-06-06,4 day R,2020-03-12,DE,point,,3.17
7,2020-06-06,4 day R,2020-03-13,DE,point,,2.71
8,2020-06-06,4 day R,2020-03-14,DE,point,,2.28
9,2020-06-06,4 day R,2020-03-15,DE,point,,1.88
10,2020-06-06,4 day R,2020-03-16,DE,point,,1.72
11,2020-06-06,4 day R,2020-03-17,DE,point,,1.48
12,2020-06-06,4 day R,2020-03-18,DE,point,,1.36
13,2020-06-06,4 day R,2020-03-19,DE,point,,1.24
14,2020-06-06,4 day R,2020-03-20,DE,point,,1.05
15,2020-06-06,4 day R,2020-03-21,DE,point,,0.97
16,2020-06-06,4 day R,2020-03-22,DE,point,,0.86
17,2020-06-06,4 day R,2020-03-23,DE,point,,0.88
18,2020-06-06,4 day R,2020-03-24,DE,point,,0.85
19,2020-06-06,4 day R,2020-03-25,DE,point,,0.88
20,2020-06-06,4 day R,2020-03-26,DE,point,,0.97
21,2020-06-06,4 day R,2020-03-27,DE,point,,0.89
22,2020-06-06,4 day R,2020-03-28,DE,point,,0.94
23,2020-06-06,4 day R,2020-03-29,DE,point,,0.88
24,2020-06-06,4 day R,2020-03-30,DE,point,,0.89
25,2020-06-06,4 day R,2020-03-31,DE,point,,0.91
26,2020-06-06,4 day R,2020-04-01,DE,point,,0.93
27,2020-06-06,4 day R,2020-04-02,DE,point,,1.03
28,2020-06-06,4 day R,2020-04-03,DE,point,,0.96
29,2020-06-06,4 day R,2020-04-04,DE,point,,0.96
30,2020-06-06,4 day R,2020-04-05,DE,point,,0.86
31,2020-06-06,4 day R,2020-04-06,DE,point,,0.81
32,2020-06-06,4 day R,2020-04-07,DE,point,,0.81
33,2020-06-06,4 day R,2020-04-08,DE,point,,0.83
34,2020-06-06,4 day R,2020-04-09,DE,point,,0.91
35,2020-06-06,4 day R,2020-04-10,DE,point,,0.86
36,2020-06-06,4 day R,2020-04-11,DE,point,,0.82
37,2020-06-06,4 day R,2020-04-12,DE,point,,0.75
38,2020-06-06,4 day R,2020-04-13,DE,point,,0.68
39,2020-06-06,4 day R,2020-04-14,DE,point,,0.71
40,2020-06-06,4 day R,2020-04-15,DE,point,,0.78
41,2020-06-06,4 day R,2020-04-16,DE,point,,0.84
42,2020-06-06,4 day R,2020-04-17,DE,point,,0.9
43,2020-06-06,4 day R,2020-04-18,DE,point,,0.87
44,2020-06-06,4 day R,2020-04-19,DE,point,,0.8
45,2020-06-06,4 day R,2020-04-20,DE,point,,0.79
46,2020-06-06,4 day R,2020-04-21,DE,point,,0.77
47,2020-06-06,4 day R,2020-04-22,DE,point,,0.81
48,2020-06-06,4 day R,2020-04-23,DE,point,,0.89
49,2020-06-06,4 day R,2020-04-24,DE,point,,0.86
50,2020-06-06,4 day R,2020-04-25,DE,point,,0.84
51,2020-06-06,4 day R,2020-04-26,DE,point,,0.79
52,2020-06-06,4 day R,2020-04-27,DE,point,,0.76
53,2020-06-06,4 day R,2020-04-28,DE,point,,0.78
54,2020-06-06,4 day R,2020-04-29,DE,point,,0.81
55,2020-06-06,4 day R,2020-04-30,DE,point,,0.88
56,2020-06-06,4 day R,2020-05-01,DE,point,,0.85
57,2020-06-06,4 day R,2020-05-02,DE,point,,0.84
58,2020-06-06,4 day R,2020-05-03,DE,point,,0.84
59,2020-06-06,4 day R,2020-05-04,DE,point,,0.83
60,2020-06-06,4 day R,2020-05-05,DE,point,,0.91
61,2020-06-06,4 day R,2020-05-06,DE,point,,0.98
62,2020-06-06,4 day R,2020-05-07,DE,point,,0.99
63,2020-06-06,4 day R,2020-05-08,DE,point,,0.93
64,2020-06-06,4 day R,2020-05-09,DE,point,,0.85
65,2020-06-06,4 day R,2020-05-10,DE,point,,0.78
66,2020-06-06,4 day R,2020-05-11,DE,point,,0.78
67,2020-06-06,4 day R,2020-05-12,DE,point,,0.82
68,2020-06-06,4 day R,2020-05-13,DE,point,,0.89
69,2020-06-06,4 day R,2020-05-14,DE,point,,0.95
70,2020-06-06,4 day R,2020-05-15,DE,point,,0.97
71,2020-06-06,4 day R,2020-05-16,DE,point,,0.96
72,2020-06-06,4 day R,2020-05-17,DE,point,,0.9
73,2020-06-06,4 day R,2020-05-18,DE,point,,0.95
74,2020-06-06,4 day R,2020-05-19,DE,point,,0.87
75,2020-06-06,4 day R,2020-05-20,DE,point,,0.91
76,2020-06-06,4 day R,2020-05-21,DE,point,,0.92
77,2020-06-06,4 day R,2020-05-22,DE,point,,0.79
78,2020-06-06,4 day R,2020-05-23,DE,point,,0.81
79,2020-06-06,4 day R,2020-05-24,DE,point,,0.73
80,2020-06-06,4 day R,2020-05-25,DE,point,,0.8
81,2020-06-06,4 day R,2020-05-26,DE,point,,0.92
82,2020-06-06,4 day R,2020-05-27,DE,point,,1.02
83,2020-06-06,4 day R,2020-05-28,DE,point,,1.1
84,2020-06-06,4 day R,2020-05-29,DE,point,,0.96
85,2020-06-06,4 day R,2020-05-30,DE,point,,0.85
86,2020-06-06,4 day R,2020-05-31,DE,point,,0.72
87,2020-06-06,4 day R,2020-06-01,DE,point,,0.7
88,2020-06-06,4 day R,2020-06-02,DE,point,,0.87
89,2020-06-06,4 day R,2020-03-06,DE,quantil,0.025,2.18
90,2020-06-06,4 day R,2020-03-07,DE,quantil,0.025,2.5
91,2020-06-06,4 day R,2020-03-08,DE,quantil,0.025,2.67
92,2020-06-06,4 day R,2020-03-09,DE,quantil,0.025,3.11
93,2020-06-06,4 day R,2020-03-10,DE,quantil,0.025,3.29
94,2020-06-06,4 day R,2020-03-11,DE,quantil,0.025,3.32
95,2020-06-06,4 day R,2020-03-12,DE,quantil,0.025,3.12
96,2020-06-06,4 day R,2020-03-13,DE,quantil,0.025,2.67
97,2020-06-06,4 day R,2020-03-14,DE,quantil,0.025,2.25
98,2020-06-06,4 day R,2020-03-15,DE,quantil,0.025,1.86
99,2020-06-06,4 day R,2020-03-16,DE,quantil,0.025,1.7
100,2020-06-06,4 day R,2020-03-17,DE,quantil,0.025,1.47
101,2020-06-06,4 day R,2020-03-18,DE,quantil,0.025,1.35
