country,date,type,median,lower_90,upper_90,lower_50,upper_50
Austria,2020-06-26,estimate,1.19,1.1,1.29,1.16,1.23
Austria,2020-06-27,estimate,1.18,1.08,1.27,1.14,1.21
Austria,2020-06-28,estimate,1.16,1.07,1.26,1.13,1.2
Austria,2020-06-29,estimate,1.15,1.06,1.25,1.11,1.18
Austria,2020-06-30,estimate,1.14,1.03,1.22,1.1,1.17
Austria,2020-07-01,estimate,1.12,1.03,1.21,1.09,1.16
Austria,2020-07-02,estimate,1.11,1.02,1.2,1.08,1.14
Austria,2020-07-03,estimate,1.1,1.02,1.19,1.06,1.13
Austria,2020-07-04,estimate,1.09,1.01,1.18,1.06,1.12
Austria,2020-07-05,estimate,1.08,1.0,1.17,1.06,1.12
Austria,2020-07-06,estimate,1.08,0.99,1.16,1.04,1.11
Austria,2020-07-07,estimate,1.07,0.98,1.15,1.04,1.1
Austria,2020-07-08,estimate,1.06,0.98,1.14,1.03,1.1
Austria,2020-07-09,estimate,1.06,0.97,1.14,1.03,1.09
Austria,2020-07-10,estimate,1.05,0.96,1.13,1.02,1.09
Austria,2020-07-11,estimate,1.04,0.96,1.13,1.02,1.08
Austria,2020-07-12,estimate,1.04,0.96,1.12,1.01,1.07
Austria,2020-07-13,estimate,1.03,0.95,1.12,1.0,1.06
Austria,2020-07-14,estimate,1.03,0.94,1.11,1.0,1.06
Austria,2020-07-15,estimate,1.02,0.94,1.1,0.99,1.06
Austria,2020-07-16,estimate,1.02,0.94,1.11,0.98,1.05
Austria,2020-07-17,estimate,1.01,0.92,1.1,0.97,1.04
Austria,2020-07-18,estimate,1.01,0.92,1.1,0.97,1.05
Austria,2020-07-19,estimate,1.01,0.91,1.09,0.96,1.03
Austria,2020-07-20,estimate,1.01,0.91,1.09,0.95,1.03
Austria,2020-07-21,estimate,1.0,0.91,1.09,0.97,1.05
Austria,2020-07-22,estimate,1.0,0.91,1.09,0.98,1.06
Austria,2020-07-23,estimate,1.01,0.91,1.09,0.98,1.06
Austria,2020-07-24,estimate,1.01,0.91,1.1,0.98,1.06
Austria,2020-07-25,estimate,1.02,0.92,1.11,0.99,1.06
Austria,2020-07-26,estimate,1.03,0.93,1.12,1.0,1.07
Austria,2020-07-27,estimate,1.04,0.94,1.12,1.01,1.08
Austria,2020-07-28,estimate,1.05,0.95,1.13,1.02,1.09
Austria,2020-07-29,estimate,1.06,0.97,1.14,1.03,1.1
Austria,2020-07-30,estimate,1.07,0.98,1.15,1.03,1.1
Austria,2020-07-31,estimate,1.09,1.0,1.17,1.06,1.12
Austria,2020-08-01,estimate,1.1,1.02,1.19,1.07,1.13
Austria,2020-08-02,estimate,1.12,1.03,1.21,1.08,1.15
Austria,2020-08-03,estimate,1.13,1.05,1.23,1.09,1.16
Austria,2020-08-04,estimate,1.15,1.06,1.25,1.11,1.19
Austria,2020-08-05,estimate,1.17,1.06,1.26,1.13,1.2
Austria,2020-08-06,estimate,1.18,1.07,1.28,1.13,1.22
Austria,2020-08-07,estimate,1.19,1.08,1.3,1.13,1.22
Austria,2020-08-08,estimate,1.2,1.09,1.32,1.13,1.23
Austria,2020-08-09,estimate,1.2,1.09,1.33,1.13,1.23
Austria,2020-08-10,estimate,1.21,1.1,1.34,1.14,1.24
Austria,2020-08-11,estimate,1.21,1.09,1.33,1.14,1.24
Austria,2020-08-12,estimate,1.2,1.09,1.33,1.14,1.24
Austria,2020-08-13,estimate,1.2,1.09,1.32,1.14,1.23
Austria,2020-08-14,estimate,1.19,1.08,1.31,1.12,1.21
Austria,2020-08-15,estimate,1.18,1.08,1.3,1.13,1.22
Austria,2020-08-16,estimate,1.16,1.06,1.27,1.12,1.2
Austria,2020-08-17,estimate,1.15,1.06,1.25,1.11,1.19
Austria,2020-08-18,estimate,1.14,1.04,1.22,1.1,1.17
Austria,2020-08-19,estimate,1.12,1.02,1.21,1.09,1.16
Austria,2020-08-20,estimate,1.1,1.01,1.2,1.07,1.15
Austria,2020-08-21,estimate,1.09,0.99,1.19,1.06,1.14
Austria,2020-08-22,estimate,1.07,0.96,1.18,1.03,1.12
Austria,2020-08-23,estimate based on partial data,1.06,0.95,1.19,1.03,1.12
Austria,2020-08-24,estimate based on partial data,1.05,0.91,1.18,1.01,1.11
Austria,2020-08-25,estimate based on partial data,1.04,0.89,1.19,0.98,1.09
Austria,2020-08-26,estimate based on partial data,1.03,0.86,1.19,0.98,1.1
Austria,2020-08-27,estimate based on partial data,1.03,0.83,1.19,0.98,1.11
Austria,2020-08-28,estimate based on partial data,1.02,0.83,1.21,0.97,1.11
Austria,2020-08-29,estimate based on partial data,1.02,0.81,1.22,0.95,1.1
Austria,2020-08-30,estimate based on partial data,1.02,0.81,1.25,0.95,1.11
Austria,2020-08-31,estimate based on partial data,1.03,0.77,1.25,0.93,1.11
Austria,2020-09-01,estimate based on partial data,1.03,0.74,1.25,0.93,1.11
