country,date,type,median,lower_90,upper_90,lower_50,upper_50
Austria,2020-07-05,estimate,1.1,0.98,1.19,1.07,1.15
Austria,2020-07-06,estimate,1.08,0.97,1.17,1.05,1.13
Austria,2020-07-07,estimate,1.07,0.97,1.16,1.04,1.12
Austria,2020-07-08,estimate,1.06,0.97,1.15,1.04,1.12
Austria,2020-07-09,estimate,1.06,0.96,1.14,1.03,1.11
Austria,2020-07-10,estimate,1.05,0.96,1.14,1.02,1.09
Austria,2020-07-11,estimate,1.04,0.95,1.13,1.0,1.08
Austria,2020-07-12,estimate,1.04,0.94,1.13,1.0,1.08
Austria,2020-07-13,estimate,1.03,0.93,1.12,1.0,1.08
Austria,2020-07-14,estimate,1.02,0.92,1.11,0.99,1.06
Austria,2020-07-15,estimate,1.02,0.91,1.11,0.99,1.06
Austria,2020-07-16,estimate,1.01,0.91,1.11,0.97,1.05
Austria,2020-07-17,estimate,1.01,0.91,1.11,0.97,1.05
Austria,2020-07-18,estimate,1.01,0.91,1.1,0.97,1.05
Austria,2020-07-19,estimate,1.0,0.9,1.1,0.96,1.04
Austria,2020-07-20,estimate,1.0,0.9,1.1,0.96,1.04
Austria,2020-07-21,estimate,1.0,0.89,1.09,0.96,1.04
Austria,2020-07-22,estimate,1.0,0.89,1.09,0.97,1.05
Austria,2020-07-23,estimate,1.0,0.89,1.09,0.97,1.05
Austria,2020-07-24,estimate,1.0,0.89,1.09,0.97,1.06
Austria,2020-07-25,estimate,1.01,0.9,1.11,0.97,1.06
Austria,2020-07-26,estimate,1.02,0.9,1.11,0.99,1.07
Austria,2020-07-27,estimate,1.03,0.91,1.12,0.99,1.08
Austria,2020-07-28,estimate,1.04,0.92,1.13,1.0,1.08
Austria,2020-07-29,estimate,1.05,0.94,1.15,1.02,1.1
Austria,2020-07-30,estimate,1.06,0.95,1.16,1.03,1.1
Austria,2020-07-31,estimate,1.08,0.97,1.17,1.04,1.12
Austria,2020-08-01,estimate,1.1,1.0,1.2,1.06,1.13
Austria,2020-08-02,estimate,1.11,1.03,1.22,1.08,1.15
Austria,2020-08-03,estimate,1.13,1.05,1.24,1.09,1.16
Austria,2020-08-04,estimate,1.15,1.06,1.26,1.1,1.18
Austria,2020-08-05,estimate,1.17,1.07,1.29,1.11,1.2
Austria,2020-08-06,estimate,1.18,1.08,1.31,1.11,1.21
Austria,2020-08-07,estimate,1.19,1.08,1.33,1.12,1.23
Austria,2020-08-08,estimate,1.2,1.07,1.34,1.12,1.23
Austria,2020-08-09,estimate,1.21,1.08,1.36,1.14,1.25
Austria,2020-08-10,estimate,1.21,1.08,1.37,1.13,1.25
Austria,2020-08-11,estimate,1.21,1.09,1.37,1.12,1.23
