data_version,target,date,location,quantile,type,value
2020-12-12,7 day R,06.03.2020,DE,NA,point,"2,34"
2020-12-12,7 day R,07.03.2020,DE,NA,point,"2,56"
2020-12-12,7 day R,08.03.2020,DE,NA,point,"2,93"
2020-12-12,7 day R,09.03.2020,DE,NA,point,"3,13"
2020-12-12,7 day R,10.03.2020,DE,NA,point,"3,22"
2020-12-12,7 day R,11.03.2020,DE,NA,point,"3,12"
2020-12-12,7 day R,12.03.2020,DE,NA,point,"2,84"
2020-12-12,7 day R,13.03.2020,DE,NA,point,"2,50"
2020-12-12,7 day R,14.03.2020,DE,NA,point,"2,18"
2020-12-12,7 day R,15.03.2020,DE,NA,point,"1,99"
2020-12-12,7 day R,16.03.2020,DE,NA,point,"1,74"
2020-12-12,7 day R,17.03.2020,DE,NA,point,"1,56"
2020-12-12,7 day R,18.03.2020,DE,NA,point,"1,39"
2020-12-12,7 day R,19.03.2020,DE,NA,point,"1,24"
2020-12-12,7 day R,20.03.2020,DE,NA,point,"1,13"
2020-12-12,7 day R,21.03.2020,DE,NA,point,"1,04"
2020-12-12,7 day R,22.03.2020,DE,NA,point,"0,98"
2020-12-12,7 day R,23.03.2020,DE,NA,point,"0,92"
2020-12-12,7 day R,24.03.2020,DE,NA,point,"0,90"
2020-12-12,7 day R,25.03.2020,DE,NA,point,"0,90"
2020-12-12,7 day R,26.03.2020,DE,NA,point,"0,88"
2020-12-12,7 day R,27.03.2020,DE,NA,point,"0,90"
2020-12-12,7 day R,28.03.2020,DE,NA,point,"0,90"
2020-12-12,7 day R,29.03.2020,DE,NA,point,"0,90"
2020-12-12,7 day R,30.03.2020,DE,NA,point,"0,92"
2020-12-12,7 day R,31.03.2020,DE,NA,point,"0,93"
2020-12-12,7 day R,01.04.2020,DE,NA,point,"0,93"
2020-12-12,7 day R,02.04.2020,DE,NA,point,"0,95"
2020-12-12,7 day R,03.04.2020,DE,NA,point,"0,93"
2020-12-12,7 day R,04.04.2020,DE,NA,point,"0,92"
