country,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Germany,2020-07-07,estimate,1.04,1.03,0.05,1.06,1.08,1.04,1.09,0.95,1.11
Germany,2020-07-08,estimate,1.05,1.04,0.05,1.06,1.08,1.04,1.09,0.95,1.11
Germany,2020-07-09,estimate,1.05,1.04,0.05,1.07,1.09,1.04,1.1,0.97,1.11
Germany,2020-07-10,estimate,1.06,1.05,0.04,1.07,1.08,1.05,1.1,0.98,1.11
Germany,2020-07-11,estimate,1.07,1.06,0.04,1.07,1.09,1.06,1.1,0.99,1.12
Germany,2020-07-12,estimate,1.08,1.07,0.04,1.08,1.09,1.06,1.1,1.01,1.13
Germany,2020-07-13,estimate,1.08,1.08,0.04,1.08,1.1,1.07,1.1,1.02,1.13
Germany,2020-07-14,estimate,1.09,1.09,0.04,1.09,1.1,1.07,1.11,1.03,1.15
Germany,2020-07-15,estimate,1.1,1.1,0.04,1.09,1.1,1.08,1.12,1.04,1.16
Germany,2020-07-16,estimate,1.11,1.11,0.04,1.09,1.11,1.08,1.12,1.04,1.17
Germany,2020-07-17,estimate,1.11,1.12,0.04,1.09,1.11,1.09,1.14,1.06,1.18
Germany,2020-07-18,estimate,1.12,1.13,0.05,1.1,1.12,1.09,1.14,1.07,1.2
Germany,2020-07-19,estimate,1.13,1.14,0.05,1.11,1.13,1.09,1.15,1.07,1.21
Germany,2020-07-20,estimate,1.14,1.15,0.05,1.13,1.15,1.1,1.15,1.07,1.22
Germany,2020-07-21,estimate,1.14,1.15,0.05,1.13,1.15,1.1,1.16,1.08,1.23
Germany,2020-07-22,estimate,1.15,1.16,0.05,1.14,1.16,1.11,1.17,1.08,1.23
Germany,2020-07-23,estimate,1.15,1.16,0.05,1.11,1.14,1.11,1.17,1.08,1.23
Germany,2020-07-24,estimate,1.15,1.16,0.05,1.13,1.15,1.12,1.18,1.08,1.23
Germany,2020-07-25,estimate,1.15,1.16,0.05,1.14,1.16,1.12,1.17,1.08,1.24
Germany,2020-07-26,estimate,1.15,1.16,0.05,1.15,1.17,1.11,1.17,1.08,1.23
Germany,2020-07-27,estimate,1.15,1.15,0.05,1.14,1.16,1.12,1.17,1.08,1.23
Germany,2020-07-28,estimate,1.15,1.15,0.04,1.13,1.15,1.11,1.17,1.07,1.21
Germany,2020-07-29,estimate,1.14,1.15,0.04,1.13,1.15,1.11,1.17,1.07,1.21
Germany,2020-07-30,estimate,1.14,1.14,0.04,1.12,1.14,1.11,1.17,1.07,1.21
Germany,2020-07-31,estimate,1.13,1.14,0.04,1.12,1.14,1.1,1.15,1.07,1.2
Germany,2020-08-01,estimate,1.13,1.13,0.04,1.11,1.13,1.1,1.15,1.07,1.2
Germany,2020-08-02,estimate,1.12,1.12,0.04,1.1,1.12,1.09,1.14,1.07,1.19
Germany,2020-08-03,estimate,1.12,1.12,0.04,1.1,1.12,1.09,1.14,1.05,1.18
Germany,2020-08-04,estimate,1.11,1.11,0.04,1.1,1.11,1.08,1.13,1.06,1.18
Germany,2020-08-05,estimate,1.1,1.1,0.04,1.09,1.11,1.08,1.12,1.05,1.17
Germany,2020-08-06,estimate,1.1,1.1,0.04,1.09,1.1,1.08,1.12,1.04,1.16
Germany,2020-08-07,estimate,1.09,1.09,0.04,1.08,1.09,1.07,1.11,1.03,1.15
Germany,2020-08-08,estimate,1.09,1.09,0.03,1.08,1.09,1.07,1.11,1.03,1.14
Germany,2020-08-09,estimate,1.08,1.08,0.03,1.07,1.08,1.06,1.1,1.03,1.14
Germany,2020-08-10,estimate,1.08,1.08,0.03,1.07,1.08,1.05,1.09,1.02,1.14
Germany,2020-08-11,estimate,1.07,1.07,0.03,1.07,1.08,1.05,1.09,1.02,1.13
Germany,2020-08-12,estimate,1.07,1.07,0.04,1.06,1.08,1.05,1.09,1.01,1.12
Germany,2020-08-13,estimate,1.06,1.06,0.04,1.06,1.08,1.05,1.09,1.0,1.11
Germany,2020-08-14,estimate,1.06,1.06,0.04,1.06,1.07,1.04,1.09,0.99,1.11
Germany,2020-08-15,estimate,1.05,1.05,0.04,1.05,1.06,1.04,1.08,0.99,1.1
Germany,2020-08-16,estimate,1.05,1.05,0.04,1.04,1.06,1.03,1.08,0.99,1.1
Germany,2020-08-17,estimate,1.04,1.04,0.04,1.04,1.06,1.03,1.07,0.98,1.09
Germany,2020-08-18,estimate,1.04,1.04,0.04,1.03,1.05,1.02,1.07,0.98,1.09
Germany,2020-08-19,estimate,1.04,1.03,0.04,1.03,1.05,1.02,1.06,0.98,1.09
Germany,2020-08-20,estimate,1.03,1.03,0.04,1.02,1.04,1.02,1.06,0.97,1.08
Germany,2020-08-21,estimate,1.03,1.02,0.04,1.02,1.04,1.01,1.06,0.97,1.08
Germany,2020-08-22,estimate,1.03,1.02,0.04,1.02,1.04,1.0,1.05,0.96,1.09
Germany,2020-08-23,estimate,1.02,1.02,0.04,1.03,1.05,1.0,1.05,0.96,1.08
Germany,2020-08-24,estimate,1.02,1.02,0.04,1.02,1.03,1.0,1.05,0.95,1.08
Germany,2020-08-25,estimate,1.02,1.02,0.04,1.01,1.03,1.0,1.05,0.95,1.08
Germany,2020-08-26,estimate,1.02,1.01,0.04,1.02,1.03,1.0,1.05,0.95,1.08
Germany,2020-08-27,estimate,1.02,1.01,0.04,1.01,1.03,1.0,1.05,0.95,1.08
Germany,2020-08-28,estimate,1.02,1.01,0.04,1.01,1.03,1.0,1.05,0.95,1.08
