country,date,type,median,lower_90,upper_90,lower_50,upper_50
Austria,2020-06-22,estimate,1.24,1.14,1.33,1.2,1.27
Austria,2020-06-23,estimate,1.22,1.13,1.33,1.19,1.26
Austria,2020-06-24,estimate,1.21,1.11,1.3,1.18,1.25
Austria,2020-06-25,estimate,1.2,1.1,1.3,1.17,1.24
Austria,2020-06-26,estimate,1.19,1.09,1.29,1.15,1.23
Austria,2020-06-27,estimate,1.18,1.08,1.28,1.14,1.22
Austria,2020-06-28,estimate,1.16,1.07,1.26,1.13,1.21
Austria,2020-06-29,estimate,1.15,1.04,1.24,1.12,1.19
Austria,2020-06-30,estimate,1.14,1.03,1.23,1.1,1.17
Austria,2020-07-01,estimate,1.13,1.02,1.22,1.1,1.17
Austria,2020-07-02,estimate,1.12,1.02,1.22,1.09,1.16
Austria,2020-07-03,estimate,1.11,1.01,1.2,1.08,1.16
Austria,2020-07-04,estimate,1.1,1.01,1.2,1.07,1.14
Austria,2020-07-05,estimate,1.09,1.0,1.19,1.06,1.13
Austria,2020-07-06,estimate,1.09,1.0,1.19,1.06,1.13
Austria,2020-07-07,estimate,1.08,0.99,1.17,1.05,1.11
Austria,2020-07-08,estimate,1.08,0.99,1.17,1.03,1.1
Austria,2020-07-09,estimate,1.07,0.98,1.16,1.04,1.1
Austria,2020-07-10,estimate,1.07,0.98,1.16,1.03,1.1
Austria,2020-07-11,estimate,1.06,0.96,1.15,1.03,1.1
Austria,2020-07-12,estimate,1.06,0.96,1.16,1.02,1.09
Austria,2020-07-13,estimate,1.06,0.96,1.16,1.01,1.08
Austria,2020-07-14,estimate,1.05,0.95,1.15,1.01,1.09
Austria,2020-07-15,estimate,1.05,0.94,1.15,1.0,1.07
Austria,2020-07-16,estimate,1.04,0.95,1.16,1.0,1.08
Austria,2020-07-17,estimate,1.04,0.94,1.15,1.0,1.08
Austria,2020-07-18,estimate,1.04,0.93,1.14,0.98,1.07
Austria,2020-07-19,estimate,1.03,0.91,1.13,0.99,1.07
Austria,2020-07-20,estimate,1.03,0.92,1.14,0.98,1.07
Austria,2020-07-21,estimate,1.02,0.91,1.14,0.96,1.05
Austria,2020-07-22,estimate based on partial data,1.02,0.89,1.14,0.96,1.06
Austria,2020-07-23,estimate based on partial data,1.01,0.88,1.15,0.97,1.07
Austria,2020-07-24,estimate based on partial data,1.01,0.86,1.16,0.96,1.07
Austria,2020-07-25,estimate based on partial data,1.01,0.84,1.17,0.94,1.06
Austria,2020-07-26,estimate based on partial data,1.0,0.8,1.16,0.93,1.06
Austria,2020-07-27,estimate based on partial data,1.0,0.8,1.2,0.92,1.06
Austria,2020-07-28,estimate based on partial data,0.99,0.77,1.21,0.91,1.07
Austria,2020-07-29,estimate based on partial data,0.99,0.74,1.21,0.92,1.09
Austria,2020-07-30,estimate based on partial data,0.99,0.72,1.23,0.92,1.1
Austria,2020-07-31,estimate based on partial data,0.98,0.72,1.25,0.9,1.09
Austria,2020-08-01,estimate based on partial data,0.98,0.68,1.25,0.9,1.1
Austria,2020-08-02,estimate based on partial data,0.98,0.69,1.29,0.88,1.1
Austria,2020-08-03,estimate based on partial data,0.98,0.65,1.29,0.88,1.1
Austria,2020-08-04,forecast,0.98,0.62,1.29,0.88,1.11
Austria,2020-08-05,forecast,0.98,0.58,1.28,0.85,1.09
Austria,2020-08-06,forecast,0.98,0.56,1.29,0.85,1.09
Austria,2020-08-07,forecast,0.98,0.54,1.31,0.86,1.11
Austria,2020-08-08,forecast,0.98,0.54,1.34,0.86,1.12
Austria,2020-08-09,forecast,0.98,0.54,1.38,0.86,1.12
Austria,2020-08-10,forecast,0.98,0.53,1.4,0.85,1.13
Austria,2020-08-11,forecast,0.98,0.53,1.42,0.87,1.14
Austria,2020-08-12,forecast,0.98,0.54,1.45,0.84,1.12
Austria,2020-08-13,forecast,0.98,0.54,1.46,0.85,1.14
Austria,2020-08-14,forecast,0.98,0.52,1.47,0.83,1.13
Austria,2020-08-15,forecast,0.98,0.48,1.45,0.83,1.13
Austria,2020-08-16,forecast,0.99,0.48,1.46,0.84,1.15
Austria,2020-08-17,forecast,0.99,0.48,1.47,0.83,1.15
Germany,2020-06-22,estimate,0.84,0.74,0.96,0.8,0.89
Germany,2020-06-23,estimate,0.81,0.72,0.92,0.76,0.85
Germany,2020-06-24,estimate,0.79,0.69,0.89,0.74,0.83
Germany,2020-06-25,estimate,0.78,0.68,0.87,0.74,0.82
Germany,2020-06-26,estimate,0.77,0.67,0.87,0.72,0.8
Germany,2020-06-27,estimate,0.77,0.67,0.86,0.73,0.81
Germany,2020-06-28,estimate,0.78,0.68,0.87,0.74,0.82
Germany,2020-06-29,estimate,0.79,0.69,0.88,0.75,0.83
Germany,2020-06-30,estimate,0.8,0.7,0.9,0.76,0.84
Germany,2020-07-01,estimate,0.82,0.72,0.93,0.79,0.87
Germany,2020-07-02,estimate,0.85,0.74,0.95,0.81,0.89
Germany,2020-07-03,estimate,0.88,0.77,0.99,0.84,0.92
Germany,2020-07-04,estimate,0.92,0.8,1.02,0.86,0.95
Germany,2020-07-05,estimate,0.95,0.84,1.07,0.91,0.99
Germany,2020-07-06,estimate,0.99,0.89,1.11,0.92,1.01
Germany,2020-07-07,estimate,1.03,0.92,1.14,0.97,1.06
Germany,2020-07-08,estimate,1.06,0.95,1.18,1.01,1.1
Germany,2020-07-09,estimate,1.1,0.97,1.21,1.05,1.14
Germany,2020-07-10,estimate,1.13,1.01,1.25,1.08,1.18
Germany,2020-07-11,estimate,1.16,1.03,1.29,1.11,1.22
Germany,2020-07-12,estimate,1.19,1.05,1.32,1.13,1.24
Germany,2020-07-13,estimate,1.2,1.07,1.34,1.13,1.25
Germany,2020-07-14,estimate,1.22,1.07,1.36,1.16,1.28
