country,date,type,median,lower_90,upper_90,lower_50,upper_50
Austria,2020-06-20,estimate,1.23,1.15,1.31,1.2,1.26
Austria,2020-06-21,estimate,1.22,1.15,1.31,1.18,1.24
Austria,2020-06-22,estimate,1.21,1.14,1.3,1.19,1.25
Austria,2020-06-23,estimate,1.2,1.13,1.3,1.17,1.24
Austria,2020-06-24,estimate,1.19,1.11,1.28,1.17,1.23
Austria,2020-06-25,estimate,1.18,1.1,1.27,1.15,1.21
Austria,2020-06-26,estimate,1.18,1.09,1.26,1.14,1.21
Austria,2020-06-27,estimate,1.17,1.09,1.26,1.14,1.2
Austria,2020-06-28,estimate,1.16,1.07,1.24,1.13,1.19
Austria,2020-06-29,estimate,1.15,1.07,1.24,1.12,1.19
Austria,2020-06-30,estimate,1.14,1.05,1.22,1.1,1.16
Austria,2020-07-01,estimate,1.13,1.04,1.21,1.1,1.16
Austria,2020-07-02,estimate,1.12,1.05,1.21,1.09,1.15
Austria,2020-07-03,estimate,1.11,1.04,1.2,1.08,1.14
Austria,2020-07-04,estimate,1.11,1.03,1.19,1.08,1.13
Austria,2020-07-05,estimate,1.1,1.02,1.17,1.07,1.12
Austria,2020-07-06,estimate,1.09,1.02,1.17,1.07,1.12
Austria,2020-07-07,estimate,1.08,1.01,1.16,1.06,1.11
Austria,2020-07-08,estimate,1.08,1.0,1.15,1.05,1.11
Austria,2020-07-09,estimate,1.07,1.0,1.15,1.04,1.1
Austria,2020-07-10,estimate,1.06,0.98,1.14,1.03,1.09
Austria,2020-07-11,estimate,1.06,0.98,1.14,1.03,1.09
Austria,2020-07-12,estimate,1.05,0.97,1.13,1.03,1.09
Austria,2020-07-13,estimate,1.05,0.96,1.12,1.02,1.08
Austria,2020-07-14,estimate,1.04,0.95,1.12,1.02,1.08
Austria,2020-07-15,estimate,1.04,0.95,1.12,1.01,1.07
Austria,2020-07-16,estimate,1.03,0.94,1.1,1.01,1.08
Austria,2020-07-17,estimate,1.03,0.93,1.1,1.0,1.06
Austria,2020-07-18,estimate,1.03,0.93,1.1,1.0,1.07
Austria,2020-07-19,estimate,1.02,0.93,1.1,1.0,1.07
Austria,2020-07-20,estimate,1.02,0.94,1.11,1.0,1.07
Austria,2020-07-21,estimate,1.02,0.94,1.11,1.0,1.07
